フリーザーレジロック+α,p2Mppp-MnTY60-MppyS2
ちらほる,yy2p2M-3QylTB-yy2pyy
ナンスクレッフィ,bdkvFV-fBWvuq-k5k5kk
エレキレイン,y22ypM-189VNq-p2ySMy
どらご,yy2y2M-DRgjrB-Ey2SMp
チラホル,nn9nnH-IPDWum-ggQHNi
アオセグ,2Ey2M2-vikEOg-ypyU3S
ロトムアゴアクジ,9gnQnn-nEV9VT-LHPLn6
アマージョ,3ppSEy-zNRR7B-yRMEy2
スカイパルキア,5kkFkV-CURXnw-1dfwF5
ヒスイゾロアーク,8K888x-TV4PPS-x4Ycac
こだいのえいち（やまやき,y2yyMU-nKQjNu-Spy32X
ミミコン,cDac8c-4jVHzD-88D84K
世間のサナ,xJxDDc-Zf9Uq5-888xYc
愛知でありそうなサナ,HNQngg-XI2Kbm-gLgPg6
アマージョフェロマッシ,Y8YD8D-q7HkVD-cc4cDa
こくば,4xcDcc-ynpzpU-DYY8cx
アンフェアダストミュウ,gN9ngH-eTQjqu-LgnQQg
ダイスミュウ,HgigQg-Yk4n5D-nHHgNQ
雪道ミュウ,gQgHnN-4wx5gD-gngLQg
紫ルギア,NnggQH-bCOv96-HngQQg
ビーチイバラ,QQQggQ-q2JcUI-NHQngg
うねり+殿堂の書型テツノイバラex単構築,XMyRpp-jXRK5e-XSppX2
虹ルギア（イバラはex）,SXpypp-7PCh10-SS2ppp
一般的なドラゴンルギア,LNngg6-ua8kQ0-nHQ9gg
アグロミライドン,FvkFv5-N5VOtg-fvkbFk
エボリューションコントロール,XyEpp2-Mk8UBI-ySR3pM
アルセウスゲンミミラフレシア,5w5FFk-EMgyLN-kbvkfF
シェイクピカチュウVゆにおん,fb15vF-zz4cPx-5kfFFF
裏工作リザードン,M2SSpR-dbahS3-SSppyX
ターボダーク,Dx8Jcx-S3KSpK-8YY4cc
俺は気に入らないけどなんかぼちぼち見るやつ,F5vFkV-vXZIl4-FdVfkF
イダイナキバ（jun）,kV5Fkf-yQ3Fy1-kbkFw5
フリーザレジロック,ySXMp-48QlQR-SpMRM2
メタモンコントロール,X3y2pp-pWmU38-yMppR2